,revisions
2003-01-22,10
2003-03-05,1
2003-06-13,2
2004-01-12,2
2004-02-22,1
2004-02-24,2
2004-02-27,3
2004-05-10,1
2004-08-23,1
2004-09-01,1
2004-09-06,2
2004-09-11,1
2004-11-15,1
2004-12-10,3
2004-12-14,1
2004-12-16,2
2004-12-25,1
2004-12-29,1
2005-01-13,1
2005-02-07,2
2005-02-10,1
2005-02-28,1
2005-04-02,1
2005-04-17,1
2005-04-18,1
2005-05-23,2
2005-05-26,1
2005-06-07,1
2005-06-09,1
2005-08-03,1
2005-09-04,3
2005-09-05,1
2005-09-15,4
2005-09-30,1
2005-10-02,1
2005-10-04,1
2005-10-07,2
2005-10-11,1
2005-10-13,1
2005-10-16,1
2005-11-12,2
2005-11-30,1
2005-12-06,1
2005-12-09,3
2005-12-18,4
2005-12-27,1
2006-01-01,2
2006-01-13,1
2006-02-07,2
2006-02-08,1
2006-02-18,1
2006-02-26,1
2006-03-07,2
2006-03-09,2
2006-03-11,2
2006-04-09,1
2006-04-11,1
2006-04-19,1
2006-05-08,1
2006-05-17,2
2006-05-24,1
2006-05-25,1
2006-05-27,1
2006-05-29,1
2006-06-04,1
2006-06-08,1
2006-06-16,2
2006-06-28,1
2006-07-05,15
2006-07-16,3
2006-07-23,1
2006-07-26,1
2006-07-31,1
2006-08-13,1
2006-08-15,1
2006-08-16,3
2006-08-17,1
2006-08-24,1
2006-08-30,2
2006-09-01,1
2006-09-06,3
2006-09-10,1
2006-09-14,2
2006-09-20,1
2006-09-24,1
2006-09-27,1
2006-10-02,1
2006-10-03,1
2006-10-07,5
2006-10-09,1
2006-10-11,2
2006-10-26,3
2006-11-01,1
2006-11-05,1
2006-11-07,2
2006-11-17,4
2006-11-18,1
2006-11-20,2
2006-11-21,1
2006-12-08,1
2006-12-09,1
2006-12-17,1
2007-01-01,4
2007-01-04,2
2007-01-05,1
2007-01-08,2
2007-01-20,4
2007-01-25,1
2007-01-29,2
2007-02-01,1
2007-02-04,6
2007-02-05,2
2007-02-11,2
2007-02-18,1
2007-02-24,2
2007-02-27,2
2007-03-12,1
2007-03-15,1
2007-03-20,1
2007-03-21,1
2007-03-22,1
2007-03-23,2
2007-04-17,1
2007-04-20,1
2007-04-25,1
2007-04-26,3
2007-04-28,1
2007-05-01,1
2007-05-05,1
2007-05-07,1
2007-05-09,1
2007-05-10,1
2007-05-11,1
2007-05-23,1
2007-06-01,1
2007-06-02,4
2007-06-10,2
2007-06-22,2
2007-06-24,2
2007-07-03,1
2007-07-09,1
2007-07-31,1
2007-08-14,1
2007-09-02,2
2007-09-03,1
2007-09-04,1
2007-09-10,1
2007-09-13,2
2007-09-14,2
2007-09-21,1
2007-09-24,3
2007-09-26,2
2007-09-28,2
2007-10-01,1
2007-10-02,2
2007-10-10,2
2007-11-01,1
2007-11-07,1
2007-11-13,1
2007-11-23,1
2007-11-26,1
2007-11-29,2
2007-12-06,1
2007-12-07,1
2007-12-11,1
2007-12-14,1
2007-12-21,3
2007-12-31,2
2008-01-05,1
2008-01-12,6
2008-01-13,1
2008-01-17,3
2008-01-31,2
2008-02-25,2
2008-02-26,3
2008-02-29,1
2008-03-06,2
2008-03-12,1
2008-03-23,1
2008-03-25,1
2008-04-01,1
2008-04-14,1
2008-04-24,1
2008-05-02,1
2008-05-07,3
2008-05-12,2
2008-05-18,1
2008-05-20,1
2008-05-26,1
2008-05-28,1
2008-06-01,1
2008-06-07,2
2008-06-11,1
2008-06-18,1
2008-07-02,1
2008-07-04,2
2008-07-15,1
2008-07-21,4
2008-07-27,1
2008-08-03,1
2008-08-10,2
2008-08-12,1
2008-08-14,1
2008-08-27,1
2008-09-08,1
2008-09-17,1
2008-09-21,1
2008-09-25,2
2008-09-26,4
2008-09-29,1
2008-09-30,1
2008-10-03,9
2008-10-04,2
2008-10-15,1
2008-10-16,2
2008-10-19,1
2008-10-21,2
2008-10-25,1
2008-10-26,2
2008-10-27,1
2008-10-28,6
2008-11-17,1
2008-11-23,2
2008-11-24,3
2008-11-25,1
2008-11-27,2
2008-12-09,3
2008-12-12,1
2008-12-21,1
2008-12-27,4
2008-12-30,1
2008-12-31,2
2009-01-01,1
2009-01-02,1
2009-01-07,1
2009-01-10,2
2009-01-11,1
2009-01-15,1
2009-01-16,1
2009-01-20,1
2009-01-29,1
2009-02-02,2
2009-02-05,1
2009-02-16,2
2009-02-18,4
2009-02-21,2
2009-02-23,1
2009-02-28,3
2009-03-01,1
2009-03-10,3
2009-03-11,1
2009-03-12,1
2009-03-16,2
2009-03-20,1
2009-03-26,2
2009-04-07,13
2009-04-11,2
2009-04-13,1
2009-04-14,3
2009-04-15,3
2009-04-16,2
2009-04-19,1
2009-04-27,2
2009-04-28,1
2009-04-30,3
2009-05-01,2
2009-05-06,2
2009-05-08,1
2009-05-16,1
2009-05-22,1
2009-05-23,1
2009-05-27,2
2009-05-28,4
2009-06-07,2
2009-06-14,1
2009-06-28,1
2009-07-02,1
2009-08-11,1
2009-08-12,1
2009-08-14,1
2009-08-17,1
2009-09-02,1
2009-09-08,1
2009-09-10,2
2009-09-16,3
2009-09-17,1
2009-09-21,1
2009-09-25,1
2009-10-11,1
2009-10-12,2
2009-10-21,1
2009-11-03,1
2009-11-05,1
2009-11-27,1
2009-12-02,2
2009-12-08,1
2009-12-09,1
2009-12-11,1
2009-12-13,2
2009-12-22,1
2009-12-24,1
2010-01-18,1
2010-01-29,3
2010-01-31,2
2010-02-08,1
2010-02-20,2
2010-03-06,2
2010-03-14,1
2010-03-21,1
2010-04-06,1
2010-04-08,1
2010-04-10,2
2010-04-14,1
2010-05-05,1
2010-05-08,1
2010-05-18,2
2010-05-20,1
2010-05-24,1
2010-06-01,1
2010-06-08,1
2010-06-13,1
2010-06-20,1
2010-06-29,1
2010-07-01,2
2010-07-02,1
2010-07-03,1
2010-07-08,1
2010-07-17,1
2010-07-22,2
2010-07-25,2
2010-07-31,1
2010-08-08,1
2010-08-10,3
2010-08-11,2
2010-08-16,2
2010-08-21,1
2010-08-24,2
2010-08-25,5
2010-08-26,1
2010-08-28,1
2010-08-29,12
2010-09-22,1
2010-09-24,4
2010-09-25,1
2010-09-26,3
2010-10-07,1
2010-11-03,1
2010-11-14,1
2010-11-15,1
2010-11-20,2
2010-11-25,4
2010-11-30,1
2010-12-01,1
2010-12-02,1
2010-12-12,3
2010-12-15,3
2010-12-27,1
2010-12-29,1
2011-01-09,2
2011-01-17,1
2011-01-19,1
2011-01-24,3
2011-01-26,2
2011-02-02,2
2011-02-03,1
2011-02-04,1
2011-02-12,1
2011-02-19,2
2011-02-27,2
2011-03-12,1
2011-04-01,1
2011-04-29,1
2011-05-07,1
2011-05-16,2
2011-05-18,1
2011-05-23,2
2011-05-25,1
2011-05-29,1
2011-07-07,2
2011-07-10,1
2011-07-13,1
2011-07-18,1
2011-07-20,1
2011-07-24,1
2011-08-07,2
2011-08-15,1
2011-08-27,2
2011-08-30,1
2011-09-02,1
2011-09-04,2
2011-09-09,1
2011-09-14,6
2011-09-22,1
2011-10-02,1
2011-10-08,1
2011-10-11,1
2011-10-14,1
2011-10-17,2
2011-10-18,4
2011-10-23,2
2011-10-25,1
2011-11-06,1
2011-11-07,2
2011-11-20,1
2011-11-23,1
2011-11-25,1
2011-11-26,2
2011-12-01,1
2011-12-04,1
2011-12-05,1
2011-12-07,4
2011-12-21,3
2011-12-24,1
2012-01-03,2
2012-01-20,3
2012-01-25,2
2012-02-05,2
2012-02-10,1
2012-02-17,3
2012-02-18,2
2012-03-01,1
2012-03-11,9
2012-03-12,5
2012-03-15,1
2012-03-18,2
2012-03-24,1
2012-03-29,9
2012-03-31,1
2012-04-01,3
2012-04-03,1
2012-04-08,1
2012-04-14,1
2012-04-15,1
2012-04-21,1
2012-04-25,1
2012-05-08,5
2012-05-12,35
2012-05-13,32
2012-05-14,3
2012-05-15,1
2012-05-16,1
2012-05-19,1
2012-05-22,11
2012-05-24,6
2012-05-28,3
2012-06-04,2
2012-06-05,5
2012-06-09,1
2012-06-12,3
2012-06-23,2
2012-06-26,1
2012-07-05,1
2012-07-10,1
2012-07-12,1
2012-07-21,1
2012-07-22,2
2012-07-24,1
2012-07-25,1
2012-07-30,1
2012-07-31,2
2012-08-02,1
2012-08-04,2
2012-08-05,1
2012-08-11,1
2012-08-12,2
2012-08-14,3
2012-08-25,1
2012-09-02,1
2012-09-03,1
2012-09-08,2
2012-09-12,1
2012-09-14,3
2012-09-15,3
