,revisions
2001-11-30,1.0
2001-12-31,3.0
2002-01-31,2.0
2002-02-28,6.0
2002-03-31,3.0
2002-04-30,1.0
2002-05-31,3.0
2002-06-30,2.0
2002-07-31,0.0
2002-08-31,2.0
2002-09-30,2.0
2002-10-31,4.0
2002-11-30,0.0
2002-12-31,2.0
2003-01-31,11.0
2003-02-28,2.0
2003-03-31,9.0
2003-04-30,4.0
2003-05-31,5.0
2003-06-30,14.0
2003-07-31,14.0
2003-08-31,10.0
2003-09-30,4.0
2003-10-31,12.0
2003-11-30,9.0
2003-12-31,5.0
2004-01-31,10.0
2004-02-29,10.0
2004-03-31,17.0
2004-04-30,9.0
2004-05-31,11.0
2004-06-30,8.0
2004-07-31,3.0
2004-08-31,15.0
2004-09-30,6.0
2004-10-31,2.0
2004-11-30,23.0
2004-12-31,14.0
2005-01-31,9.0
2005-02-28,13.0
2005-03-31,12.0
2005-04-30,11.0
2005-05-31,21.0
2005-06-30,29.0
2005-07-31,18.0
2005-08-31,20.0
2005-09-30,21.0
2005-10-31,39.0
2005-11-30,53.0
2005-12-31,59.0
2006-01-31,55.0
2006-02-28,47.0
2006-03-31,54.0
2006-04-30,52.0
2006-05-31,104.0
2006-06-30,69.0
2006-07-31,37.0
2006-08-31,31.0
2006-09-30,36.0
2006-10-31,116.0
2006-11-30,99.0
2006-12-31,102.0
2007-01-31,38.0
2007-02-28,60.0
2007-03-31,34.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,110.0
2007-11-30,5.0
2007-12-31,0.0
2008-01-31,0.0
2008-02-29,0.0
2008-03-31,0.0
2008-04-30,0.0
2008-05-31,0.0
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,35.0
2008-09-30,69.0
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,15.0
2009-01-31,65.0
