,revisions
2001-11-12,1.0
2001-11-19,0.0
2001-11-26,0.0
2001-12-03,0.0
2001-12-10,1.0
2001-12-17,0.0
2001-12-24,0.0
2001-12-31,0.0
2002-01-07,1.0
2002-01-14,0.0
2002-01-21,0.0
2002-01-28,0.0
2002-02-04,2.0
2002-02-11,0.0
2002-02-18,0.0
2002-02-25,2.0
2002-03-04,7.0
2002-03-11,0.0
2002-03-18,0.0
2002-03-25,0.0
2002-04-01,1.0
2002-04-08,0.0
2002-04-15,0.0
2002-04-22,0.0
2002-04-29,0.0
2002-05-06,0.0
2002-05-13,0.0
2002-05-20,0.0
2002-05-27,0.0
2002-06-03,0.0
2002-06-10,0.0
2002-06-17,0.0
2002-06-24,0.0
2002-07-01,0.0
2002-07-08,0.0
2002-07-15,0.0
2002-07-22,0.0
2002-07-29,0.0
2002-08-05,0.0
2002-08-12,0.0
2002-08-19,1.0
2002-08-26,0.0
2002-09-02,0.0
2002-09-09,3.0
2002-09-16,0.0
2002-09-23,0.0
2002-09-30,5.0
2002-10-07,1.0
2002-10-14,0.0
2002-10-21,0.0
2002-10-28,0.0
2002-11-04,0.0
2002-11-11,0.0
2002-11-18,0.0
2002-11-25,2.0
2002-12-02,0.0
2002-12-09,1.0
2002-12-16,0.0
2002-12-23,0.0
2002-12-30,0.0
2003-01-06,0.0
2003-01-13,8.0
2003-01-20,0.0
2003-01-27,2.0
2003-02-03,0.0
2003-02-10,1.0
2003-02-17,0.0
2003-02-24,0.0
2003-03-03,0.0
2003-03-10,0.0
2003-03-17,1.0
2003-03-24,0.0
2003-03-31,3.0
2003-04-07,0.0
2003-04-14,0.0
2003-04-21,0.0
2003-04-28,0.0
2003-05-05,0.0
2003-05-12,0.0
2003-05-19,2.0
2003-05-26,0.0
2003-06-02,0.0
2003-06-09,3.0
2003-06-16,0.0
2003-06-23,0.0
2003-06-30,0.0
2003-07-07,0.0
2003-07-14,1.0
2003-07-21,0.0
2003-07-28,0.0
2003-08-04,0.0
2003-08-11,0.0
2003-08-18,0.0
2003-08-25,0.0
2003-09-01,0.0
2003-09-08,0.0
2003-09-15,0.0
2003-09-22,0.0
2003-09-29,0.0
2003-10-06,0.0
2003-10-13,0.0
2003-10-20,0.0
2003-10-27,0.0
2003-11-03,0.0
2003-11-10,0.0
2003-11-17,0.0
2003-11-24,0.0
2003-12-01,0.0
2003-12-08,3.0
2003-12-15,0.0
2003-12-22,0.0
2003-12-29,0.0
2004-01-05,0.0
2004-01-12,0.0
2004-01-19,0.0
2004-01-26,2.0
2004-02-02,3.0
2004-02-09,3.0
2004-02-16,2.0
2004-02-23,0.0
2004-03-01,2.0
2004-03-08,4.0
2004-03-15,2.0
2004-03-22,4.0
2004-03-29,0.0
2004-04-05,1.0
2004-04-12,0.0
2004-04-19,4.0
2004-04-26,2.0
2004-05-03,0.0
2004-05-10,1.0
2004-05-17,0.0
2004-05-24,5.0
2004-05-31,0.0
2004-06-07,1.0
2004-06-14,0.0
2004-06-21,0.0
2004-06-28,0.0
2004-07-05,0.0
2004-07-12,1.0
2004-07-19,0.0
2004-07-26,1.0
2004-08-02,0.0
2004-08-09,0.0
2004-08-16,1.0
2004-08-23,1.0
2004-08-30,1.0
2004-09-06,2.0
2004-09-13,6.0
2004-09-20,0.0
2004-09-27,1.0
2004-10-04,3.0
2004-10-11,1.0
2004-10-18,1.0
2004-10-25,0.0
2004-11-01,2.0
2004-11-08,7.0
2004-11-15,0.0
2004-11-22,2.0
2004-11-29,4.0
2004-12-06,4.0
2004-12-13,2.0
2004-12-20,3.0
2004-12-27,2.0
2005-01-03,1.0
2005-01-10,2.0
2005-01-17,1.0
2005-01-24,2.0
2005-01-31,2.0
2005-02-07,5.0
2005-02-14,3.0
2005-02-21,5.0
2005-02-28,1.0
2005-03-07,6.0
2005-03-14,14.0
2005-03-21,12.0
2005-03-28,4.0
2005-04-04,4.0
2005-04-11,5.0
2005-04-18,3.0
2005-04-25,3.0
2005-05-02,4.0
2005-05-09,7.0
2005-05-16,4.0
2005-05-23,5.0
2005-05-30,10.0
2005-06-06,6.0
2005-06-13,3.0
2005-06-20,3.0
2005-06-27,2.0
2005-07-04,2.0
2005-07-11,4.0
2005-07-18,1.0
2005-07-25,19.0
2005-08-01,0.0
2005-08-08,4.0
2005-08-15,6.0
2005-08-22,3.0
2005-08-29,3.0
2005-09-05,9.0
2005-09-12,7.0
2005-09-19,21.0
2005-09-26,5.0
2005-10-03,7.0
2005-10-10,9.0
2005-10-17,7.0
2005-10-24,10.0
2005-10-31,2.0
2005-11-07,5.0
2005-11-14,9.0
2005-11-21,9.0
2005-11-28,9.0
2005-12-05,4.0
2005-12-12,14.0
2005-12-19,10.0
2005-12-26,10.0
2006-01-02,6.0
2006-01-09,3.0
2006-01-16,13.0
2006-01-23,24.0
2006-01-30,8.0
2006-02-06,11.0
2006-02-13,6.0
2006-02-20,6.0
2006-02-27,6.0
2006-03-06,27.0
2006-03-13,38.0
2006-03-20,57.0
2006-03-27,17.0
2006-04-03,22.0
2006-04-10,25.0
2006-04-17,17.0
2006-04-24,23.0
2006-05-01,14.0
2006-05-08,12.0
2006-05-15,46.0
2006-05-22,32.0
2006-05-29,34.0
2006-06-05,11.0
2006-06-12,8.0
2006-06-19,13.0
2006-06-26,13.0
2006-07-03,8.0
2006-07-10,10.0
2006-07-17,15.0
2006-07-24,9.0
2006-07-31,10.0
2006-08-07,9.0
2006-08-14,8.0
2006-08-21,9.0
2006-08-28,25.0
2006-09-04,10.0
2006-09-11,11.0
2006-09-18,21.0
2006-09-25,15.0
2006-10-02,34.0
2006-10-09,17.0
2006-10-16,15.0
2006-10-23,17.0
2006-10-30,36.0
2006-11-06,39.0
2006-11-13,6.0
2006-11-20,0.0
2006-11-27,38.0
2006-12-04,20.0
2006-12-11,25.0
2006-12-18,23.0
2006-12-25,25.0
2007-01-01,11.0
2007-01-08,21.0
2007-01-15,19.0
2007-01-22,0.0
2007-01-29,0.0
2007-02-05,0.0
2007-02-12,30.0
2007-02-19,25.0
2007-02-26,0.0
2007-03-05,0.0
2007-03-12,0.0
2007-03-19,0.0
2007-03-26,0.0
2007-04-02,0.0
2007-04-09,0.0
2007-04-16,0.0
2007-04-23,0.0
2007-04-30,0.0
2007-05-07,0.0
2007-05-14,0.0
2007-05-21,0.0
2007-05-28,0.0
2007-06-04,0.0
2007-06-11,0.0
2007-06-18,0.0
2007-06-25,0.0
2007-07-02,0.0
2007-07-09,0.0
2007-07-16,0.0
2007-07-23,0.0
2007-07-30,0.0
2007-08-06,0.0
2007-08-13,3.0
2007-08-20,15.0
2007-08-27,13.0
2007-09-03,21.0
2007-09-10,15.0
2007-09-17,14.0
2007-09-24,13.0
2007-10-01,0.0
2007-10-08,0.0
2007-10-15,0.0
2007-10-22,2.0
2007-10-29,25.0
2007-11-05,9.0
2007-11-12,0.0
2007-11-19,0.0
2007-11-26,0.0
2007-12-03,0.0
2007-12-10,16.0
2007-12-17,0.0
2007-12-24,0.0
2007-12-31,0.0
2008-01-07,0.0
2008-01-14,0.0
2008-01-21,0.0
2008-01-28,0.0
2008-02-04,0.0
2008-02-11,4.0
